"id","location_name","rate","member","review","date"
1,남이섬,"1.0",가족,"남이섬의 썩은 자전거 완전 장사속으로 물든 남이섬~!!
썩은 자전거2인승 빌리는데 30분에 8000원받아요.
내꺼 자전거 갖고 가는것은 허락안해요. 참 웃기는 행정이지요.
기차도 버스도 택시도 자전거를 실어주는데 남이섬은 거기서 임대하는 썩은 자전거만 타야 돼요.
내꺼 갖고 가면 안된데요~~ㅠ
직원들 얼굴엔 친절과 미소가 사라진지 오래고 남이섬 찾아온 관광객은 호갱으로만 보는 느낌. 제말이 틀렸는지 가서 직원들 보면 알아요~!!","20201104"
2,남이섬,"4.0","","한국 유명 관광지 남이섬 남이섬 들어갈 때 짚라인을 타고 들어가서 배를 타고 나올 수 있습니다.
한적하고 힐링되는 데이트 코스로는 좋습니다.
지금은 외국인 관광객이 없지만
평소에는 외국인 관광객이 내국인의 3분의1 수준으로 많습니다.
한국의 멋진 관광지 중 하나입니다.","20200830"
3,남이섬,"5.0",가족,"행복한 여행 눈썰매는 못타서 아쉽지만
추운데 마음은 따뜻해지는 여행이었습니다.
아이와 함께 하는 여행으로도 추천해요
도서관 놀이방 기차 등 아이를 위한 시설도 많고 평화롭게 거닐 수 있어서 만족스러웠어요. 추찬추천 ^-^","20200303"
4,남이섬,"4.0","","데이트 코스 뭐 남이섬에 대한 안좋은 이야기도 많긴 하지마 독특한 테마 유원지라는 것은 인정합니다. 불만은 입장료가 비싸고 사람이 너무 많고 인위적인 느낌이 강하다는 것 정도이며 장점은 그럼에도 불구하고 데이트 코스로는 안성맞춤인 넓은 산책로 아기자기 카페, 동물원, 예쁜 펜션들이 있다는 것 정도입니다. 섬으로 들어가는 배를 타는 것도 신선한 경험이었네요","20191201"
5,남이섬,"4.0",커플,"남이섬은 첫사랑에기억 남이섬은 배를타고 10분정도면간다
너무가까워 도착하면 겨울연가의 테마들
걸어서 나무들사이로가다보면 나뭇잎소리와
가을냄새가 가득차 올라온다
강가를 걸으며 강가벤치에앉아서 물새도보고
아름다운 풍경과 첫사랑의. 기억은덤","20191201"
6,남이섬,"5.0",커플,가볼만 합니다 자연에서 힐링하는 느낌입니다. 배를 타고 10분?15분정도 들어가면 나오는 작은자연섬 정말 좋았어요 동물이랑도 함께하는 느낌 ! 커플들은 커플자전거도 타면 좋을거같아요 중간중간 드라마 명소들도 나오고 포토스팟 많아서 좋아썽요,"20191022"
7,남이섬,"5.0",커플,아름다운 곳 아름다운 곳 입니다. 배를 타고 들어가거나 짚라인을 타고 들어갑니다. 주차는 입구식당에서 식사 하시면 무료이구요 공영주차장도 하루종일 이용시 4천원입니다 하지만 공용주차장이 매우 작고 멀리 떨어져 있는 곳도 있습니다. 동남아관광객분들이 투어로 많이 오십니다,"20191010"
8,남이섬,"5.0",가족,"평화롭고 낭만적인 곳입니다. 평화롭고 낭만적인 곳입니다.
또한 이곳 주변은 쁘띠프랑스, 아침고요수목원등의 유명한 관광지가 있으며, 설악산으로 가는 중간에 위치하고 있습니다.","20190516"
9,남이섬,"1.0",커플,"걍 그럼 왜들 그렇게 남이섬남이섬하는지 사실 잘 모르겠음.......
국유재산아니라고 하니 더 가기싫음...........
음식도 맛없고 볼거리도 그닥임 사람만 바글바글 배타도 돈들고 뭐만하면 돈듬","20181211"
10,남이섬,"4.0",친구,"춘천이나 가평에 온다면 추천 남이섬 안에서 딱히 할 것은 없지만, 겨울에 모닥불을 쬐거나 눈길을 밟으며 분위기를 느끼는 것도 좋습니다. 메가집도 있어서, 메가집을 한번도 못타보셨다면 한번쯤은 해볼만합니다. 일본인 친구를 데려갔는데 좋아했던 기억이 있습니다.","20180907"
11,남이섬,"3.0","",가족이랑 간 남이섬 가족들이랑 처음으로 남이섬을 갔습니다. 배를 타고 갔어요. 나쁘지는 않았어요 조금 더워서 아버지가 힘들어하신거 빼고는 주변 경관이 이쁘고 사진찍고 놀기 좋았습니다.,"20180902"
12,남이섬,"5.0","",제가 좋아하는 곳 중 하나 사람 너무 많을때만 피하면 바람쐬러 갔다오기 좋아요. 지금까지 열댓번은 간거 같은데 갈때마다 분위기가 다릅니다. 나중엔 섬 안에 있는 숙소에 1박 머무르면서 더 천천히 보려고해요,"20180806"
13,남이섬,"5.0",커플,"커플여행으로 최고인 남이섬 자연친화적으로 다람쥐나 청설모들을 가까이서 쉽게 볼 수 있고
나무들이 쭉 펼쳐진 거리에서 사진을 찍기에도 좋다
돗자리를 가져가서 피크닉을 즐길 수 도 있다
커플여행의 최고의 여행지","20180730"
14,남이섬,"1.0",비지니스,"회사 단체 여행으로 다녀왔어요. 걷기도 좋고, 청설모랑 토끼랑 다람쥐가 사람을 피하지도 않고 자유롭게 돌아다니는 것도 귀여웠어요.
무슬림을 위한 기도실이 있는 것도 새로웠구요. 외국인 단체 관광객도 엄청 많더라구요.","20180403"
15,남이섬,"4.0","","가족들하고 한번 가면 좋아요 이런저런 비용이 생각보다 많이 들어요. 비수기때 평일날 가면 강추 입니다.
겨울연가의 메타 세콰이어 좋아요","20180205"
16,남이섬,"4.0",친구,한번쯤은 가볼만한 곳 계절마다 풍기는 분위기가 다르다고 느꼈고 겨울에 방문해도 참 분위기는 좋았습니다 다만 배타고 안에 갔을 때 산책하며 걷는거 외에는 딱히 할게 없는듯해요 여름이나 가을에 오면 더 좋을거 같습니다.,"20171218"
17,남이섬,"4.0",커플,좋아요 사계절 내내 다른 매력으로 예쁜 것 같아요. 가을에 못 가본게 한입니당 ㅜㅜㅜ 별로 볼 건없지만 좋아요,"20171213"
18,남이섬,"5.0",친구,"산책하기 좋은 곳 봄, 가을 날씨 좋을 때 가면 정말 좋아요. 잔디밭 위에 사진 찍어도 정말 예쁘고 자전거를 빌려서 산책로를 달리는 것도 즐겁습니다. 데이트 하기에도 좋고 친구들끼리 놀러 와서 시간 보내는 것도 좋아요. 가족끼리 오는 것도 좋을 것 같습니다.","20171210"
19,남이섬,"3.0",커플,"강원도에 위치한 남이섬 연인과 함께 오기 좋은 곳.

예쁘게 정렬해있는 나무길 사이로 산책하기 좋음.

일몰도 이쁘게 볼수 있어서 좋음.

자전거 대여를 해서 자전거 데이트하기에도 좋음.

단, 음식들은 가격대비 별로.
","20171207"
20,남이섬,"5.0","",남이섬 배타고 섬에 들어가죠~ 가을에 가면 너무나도 아름다운 섬입니다!! 유명한곳이라 외국인들도 많아요,"20171205"
21,남이섬,"4.0",커플,"아름다운 남이섬 하루 데이트하기 좋습니다. 뭐 워낙 유명한 곳이라 많은 설명이 필요없죠. 10년 전에도 갔었는데, 그때나 지금이나 언제나 사람은 많습니다. 그래도 10년 전보단 더 잘 꾸며져있습니다. 예전에는 일본관광객이 많이 보였는데, 지금은 동남아 관광객들이 많이 보이네요.","20171201"
22,남이섬,"5.0",친구,추억의 남이섬 과거 남이섬은 인기있었던 드라마 때문인지 일본인 관광객때문에 너무 분주했던 곳이었는데 최근에는 그래도 여유있게 둘러볼 수 있습니다. 커플끼리도 가족끼리도 한번쯤 가볼만한 곳으로 다양한 볼거리와 아름답게 꾸며진 곳곳에서 사진도 찍고 하루 나들이로 좋습니다.,"20171130"
23,남이섬,"3.0",커플,겨울에는 추우니 따듯하게 입으세요 나름 강과 섬이라 그런지 겨울 춥습니다 따듯하게 입으세요 요즘에 외국인 관광객이 많아져서 그런지 반이상이 외국인입니다,"20171130"
24,남이섬,"5.0",커플,"아기자기 다양한 체험이 가능한 섬 커플의 데이트장소, 가족의 나들이 장소로 제격입니다. 자연환경이 예쁘고 다양한 볼거리가 있습니다. 추억의 도시락은 꼭 한번 드셔보세요 .^^","20171114"
25,남이섬,"5.0",커플,"가을을 만끽할 수 있는 아름다운 공간 피크철을 1주 지나서 방문했는데, 그럼에도 무척 만족스러운 경험이었습니다. 평일 방문해서 사람이 별로 없을 줄 알았는데 중국과 동남아 단체관광객이 상당히 많았습니다. 최초 설립자의 집념과 끈기, 인내가 지금 한국의 관광에 일조를 하고 있으며, 자연을 더 가꾸고자 노력했던 분의 뜻에 경의를 표합니다.

대략 7년전의 방문때에 비해 건물이 많이 들어서있고 상업화가 더 진행된 듯 해서 아쉬운 부분도 있었으나, 자연훼손에 해당할 만큼은 아니었고, 방문객의 편의시설을 많이 보완해놓은 것이 대부분이라 괜찮았습니다. 별장등 숙박시설과 식당들도 있어서 춥지 않을때는 하루를 보내기 좋은 곳입니다. 다만 겨울에는 어떤 테마로 관광객을 맞을 지 고민이 필요할 것 같습니다.

개인적으로 여기저기 가꿔놓은 단풍길, 메타세콰이어길, 정원들과 아기자기한 공간들 모두 만족스러웠습니다. 가을에 특히 좋은 곳 같습니다.
","20171109"
26,남이섬,"4.0",가족,"산책하기 좋은곳 가족들과 차를 타고 춘천으로 가서 남이섬으로 고고!!
근데 너무 상업적이라 가성비는 별로임...
추울때 갔더니 볼것 별로없고 대충 돌다가 하루 다보냄 ㅎㅎ","20170914"
27,남이섬,"4.0",가족,"아이들과 가기 좋은 곳 아이들이 배를 타서 좋아하고 들어가서도 여러 종류의 볼거리들이 있어서 좋습니다
천천히 산책하면서 미술관 구경도 추천드립니다","20170718"
28,남이섬,"5.0",가족,"엄마랑 데이트하고 왔어요 생일 기념으로 엄마랑 데이트하고 왔네요
청량리에서 한번에 가는 전철 있어요! 그거타면 금방도착해요!
엄마랑 시원한 아이스크림도 사먹고 사진도 많이 찍고 엄마랑 즐거운 추억 많이 쌓을 수 있어서 기뻤어요. 남이섬 내에 숙박시설도 있어서 자고갈까 했는데 다음에 가족끼리 다시 오기로 약속하고귀가했어요 ㅎㅎ","20170710"
29,남이섬,"5.0",커플,"아름다운 풍경, 다양한 즐길거리 몇 년 전 방문했을 때보다 훨씬 더 아름답게 가꾸어진 모습을 보고 놀랐습니다. 이 곳에 머무는 내내 몸과 마음이 모두 정화되는 느낌이었어요. 최고입니다.","20170702"
30,남이섬,"4.0",가족,남이섬을 가다 휴일을 맞아 아이들과 아이친구 가족가 같이 남이섬 방문 더운 여름이라 배를타고 시원함도 잠시 금방 도착합니다. 섬에서 오리배도 타고 자전거도 타고 참 좋았어요 근데 단점은 비가오면 땅이 찔퍽해지네요....,"20170628"
31,남이섬,"4.0",친구,한국의 베르사유?! 배타고. 자전거타고 친구들과 여기저기 다니다보면 여유가생긴다 잔디밭에서 노닐고 맛난 음식도 먹고 하루가 즐겁게 지나간다,"20170612"
32,남이섬,"5.0",가족,남이섬 어느 누구와 가도 즐거운 남이섬~가족단위로가도 좋습니다 커플도 좋구요~나무길이 아주좋습키다,"20170611"
33,남이섬,"4.0",친구,남이 공화국? 자칭 남이 공화국 섬나라 테마파크. 메타세콰이어 나무와 아기자기한 건물들 꽃들 들판과 사람들. 외국인 내국인 다 좋아하는 테마공원이다. 자전거를 타고 한바퀴 덜아도 좋고 넓은 잔디밭에서 수건돌리기(?)룰 해도 좋다. 하루정도 걸리는 일정.,"20170606"
34,남이섬,"5.0",가족,"너무 좋아요 휴일을맞아 아이들과 방문,, 5월한달동안 그림책 3개 가져오면 아이들은 입장이 무료라고 해서 무료로 입장하고, 배타고 섬으로 들어가는 낭만,,, 잘 조성된 숲길과, 아이들을 위해 만들어놓은 놀이터, 여러가지 볼거리, 타조와 오리에 야생 청설모까지 자연과 잘 어우러지게 꾸며놓은것 같습니다. 드넓은 잔디밭에서 돗자리 깔아놓고 미리준비해 놓은 도시락 먹으면서 소풍을 하는것도 너무 좋을것 같네요~ 아이들과 먹을만한 식당이 없어서 식사후나 도시락 싸가는걸 추천드립니다.","20170504"
35,남이섬,"5.0","",남이섬 서울에서 가깝고 자연환경을 잘 살려 조성해 놓은 휴식처. 힐링 목적이라면 주말 보다는 평일이 좋다. 아이들과 다니기도 좋아 자주 감.,"20170429"
36,남이섬,"5.0",가족,"외국인들의 필수 코스 아시아인들의 관광 필수 방문 장소.
배타고 들어가고 다양한 먹거리가 있고
체험 또한 할 수 있는 자그마한 섬.

다소 비싼듯한 배 이용료이지만 배가 싫다면
짚와이어로 건너갈 수 있다.","20170420"
